  wavelength    amplitude
1.06099629E+03 1.20855302E-01
1.06132786E+03 1.20855302E-01
1.06228941E+03 1.23056345E-01
1.06278677E+03 3.98390010E-02
1.06281993E+03 8.42019121E-02
1.06288624E+03 1.21593413E-01
1.06337254E+03 1.20112660E-01
1.06361569E+03 1.23056345E-01
1.06364885E+03 1.03507333E-01
1.06390748E+03 9.49876781E-02
1.06391411E+03 1.20855302E-01
1.06398042E+03 4.30763972E-02
1.06407989E+03 7.58143258E-02
1.06421252E+03 3.44165803E-02
1.06424568E+03 9.47046620E-02
1.06425673E+03 1.15556614E-01
1.06451093E+03 4.30763972E-02
1.06457725E+03 8.09512322E-02
1.06470988E+03 4.75207428E-02
1.06477619E+03 9.03531018E-02
1.06485356E+03 1.15556614E-01
1.06528460E+03 9.97658058E-02
1.06530670E+03 1.23056345E-01
1.06537302E+03 4.14892878E-02
1.06542275E+03 8.57810702E-02
1.06560512E+03 1.15556614E-01
1.06583722E+03 1.23056345E-01
1.06585143E+03 9.84762357E-02
1.06610247E+03 1.23056345E-01
1.06626826E+03 1.18613423E-01
1.06683192E+03 1.23056345E-01
1.06709718E+03 1.23056345E-01
1.06711139E+03 9.84762357E-02
1.06736244E+03 1.23056345E-01
1.06741770E+03 8.42019121E-02
1.06761664E+03 1.21593413E-01
1.06762769E+03 1.03507333E-01
1.06788190E+03 1.21593413E-01
1.06810847E+03 1.00213238E-01
1.06812505E+03 1.21593413E-01
1.06842346E+03 1.01543700E-01
1.06851188E+03 1.15556614E-01
1.06874840E+03 1.01543700E-01
1.06875503E+03 1.23056345E-01
1.06902029E+03 1.23056345E-01
1.06955080E+03 1.03507333E-01
1.06961712E+03 1.23056345E-01
1.06981606E+03 1.03507333E-01
1.06987132E+03 1.21593413E-01
1.07010342E+03 9.93163632E-02
1.07014763E+03 1.23056345E-01
1.07034657E+03 9.74978615E-02
1.07041288E+03 1.23056345E-01
1.07063393E+03 1.05009223E-01
1.07067814E+03 1.27344356E-01
1.07075551E+03 1.48132012E-01
1.07087708E+03 9.85249004E-02
1.07094340E+03 1.24142237E-01
1.07116223E+03 1.01543700E-01
1.07120865E+03 1.23056345E-01
1.07140759E+03 9.85249004E-02
1.07147391E+03 1.29435100E-01
1.07165075E+03 9.97658058E-02
1.07173916E+03 1.23056345E-01
1.07193811E+03 9.74978615E-02
1.07200442E+03 1.23056345E-01
1.07218126E+03 1.00213238E-01
1.07226968E+03 1.23056345E-01
1.07246862E+03 1.04153651E-01
1.07253493E+03 1.23056345E-01
1.07273387E+03 9.97658058E-02
1.07280019E+03 1.23056345E-01
1.07301334E+03 9.84762357E-02
1.07306545E+03 1.23056345E-01
